vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,5819ce7a-Audio_SP11,7aee4437-Audio_SP12,0.6801092624664307,0.8993847370147705,0.31719909045460626
i,1d46eb6e-Audio_SP18,49ae7020-Audio_SP17,0.6777194738388062,0.9133015871047974,0.2944459422291342
i,181d5ce9-Audio_SP21,c3533b36-Audio_SP16,0.6774268746376038,0.8978161811828613,0.319662038436125
i,2e25304d-Audio_SP12,7aee4437-Audio_SP12,0.6768743395805359,0.8944673538208008,0.3248578861274561
i,0f786745-Audio_SP20,fcd45f4d-Audio_SP21,0.675777792930603,0.9038885831832886,0.31001841367362587
i,7a414497-Audio_SP15,c3533b36-Audio_SP16,0.6756744980812073,0.9094804525375366,0.3008646663575891
i,1c403477-Audio_SP13,7a414497-Audio_SP15,0.6730602383613586,0.8921487927436829,0.3284070755271834
i,7a414497-Audio_SP15,a452055c-Audio_SP11,0.671780526638031,0.9072633385658264,0.3045269469754254
i,0e6115f2-Audio_SP19,919b9bc1-Audio_SP14,0.6711581349372864,0.9116461873054504,0.2972436924386278
i,0f786745-Audio_SP20,1c403477-Audio_SP13,0.6711312532424927,0.8976805210113525,0.3198741611769345
i,7a414497-Audio_SP15,7e277fda-Audio_SP28,0.6695101857185364,0.8915744423866272,0.329280363236821
i,061ea7d0-Audio_SP16,63239054-Audio_SP15,0.6685096621513367,0.8941043019294739,0.32541619208411576
i,0f786745-Audio_SP20,7e277fda-Audio_SP28,0.6680122017860413,0.9039836525917053,0.30986504709033363
i,7e277fda-Audio_SP28,adad0062-Audio_SP17,0.6668938398361206,0.8904131650924683,0.33103902323975604
i,0e6115f2-Audio_SP19,85c7895f-Audio_SP16,0.6664500832557678,0.9089547991752625,0.3017369729163755
i,0f786745-Audio_SP20,e90f8e4d-Audio_SP22,0.6656196117401123,0.9063720703125,0.30598681293072094
i,7dec1dd7-Audio_SP13,fcd45f4d-Audio_SP21,0.6655944585800171,0.8872732520103455,0.33574804242118006
i,5a932187-audio_SP16,7dec1dd7-Audio_SP13,0.6652874946594238,0.8943160176277161,0.3250907294468483
i,0f786745-Audio_SP20,5278b5b9-Audio_SP15,0.6647305488586426,0.8854649662971497,0.3384302493909939
i,919b9bc1-Audio_SP14,e90f8e4d-Audio_SP22,0.6645323038101196,0.8979062438011169,0.3195211357623828
i,7a414497-Audio_SP15,919b9bc1-Audio_SP14,0.6644964814186096,0.8934878706932068,0.3263619605695388
i,5586979c-Audio_SP18,a452055c-Audio_SP11,0.6628459095954895,0.9000495672225952,0.3161493836422978
i,7e277fda-Audio_SP28,e90f8e4d-Audio_SP22,0.6622033715248108,0.8999278545379639,0.3163418174412547
i,5586979c-Audio_SP18,cafd9c21-Audio_SP27,0.661940336227417,0.8990976214408875,0.31765134748512014
i,7dec1dd7-Audio_SP13,919b9bc1-Audio_SP14,0.661514937877655,0.8838838338851929,0.3407582223730003
i,0e6115f2-Audio_SP19,5586979c-Audio_SP18,0.6602298617362976,0.9085131287574768,0.3024679672998832
i,5586979c-Audio_SP18,7e277fda-Audio_SP28,0.6594669222831726,0.8892241716384888,0.33283002923641253
i,1c403477-Audio_SP13,dbeec025-Audio_SP13,0.6578795909881592,0.8961591720581055,0.3222434296333977
i,1c403477-Audio_SP13,c3533b36-Audio_SP16,0.6576914191246033,0.8975161910057068,0.32013092477030897
i,0f786745-Audio_SP20,713a2f9b-Audio_SP16,0.6576648354530334,0.8802661299705505,0.34602582277837224
i,0af9ac47-Audio_SP14,7a414497-Audio_SP15,0.6571752429008484,0.8953628540039062,0.32347665448389584
i,49ae7020-Audio_SP17,a1a056ce-Audio_SP11,0.6571523547172546,0.8842756152153015,0.3401828696226465
i,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0.6560093760490417,0.8967851400375366,0.32127069577299355
i,63239054-Audio_SP15,7a414497-Audio_SP15,0.6557447910308838,0.8954554796218872,0.3233334507565105
i,713a2f9b-Audio_SP16,fcd45f4d-Audio_SP21,0.6556141972541809,0.8847894668579102,0.3394267713986182
i,181d5ce9-Audio_SP21,5586979c-Audio_SP18,0.6545725464820862,0.8904074430465698,0.33104766568189264
i,0e6115f2-Audio_SP19,e90f8e4d-Audio_SP22,0.6544950008392334,0.874468982219696,0.3543035672700798
i,0e6115f2-Audio_SP19,5278b5b9-Audio_SP15,0.6544328927993774,0.8722753524780273,0.3573858524367923
i,2988c6fc-Audio_SP13,919b9bc1-Audio_SP14,0.6530439257621765,0.901432991027832,0.31395383254894016
