audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
a1a056ce-Audio_SP11,i,185,432.04151662391126,2489.48431959268,443.10826600001457,2492.055800551303
a452055c-Audio_SP11,i,357,347.0001936360462,2011.914274453921,369.22117199568646,2016.1783799544835
adad0062-Audio_SP17,i,428,403.1861879473166,2096.2383769055477,423.19833166877163,2072.7674864058527
c3533b36-Audio_SP16,i,183,350.57477495486853,2041.4028078682104,364.29334729605785,2029.9755274110655
cafd9c21-Audio_SP27,i,492,391.82871875362434,1963.4894815700013,399.47549869600203,1966.3057079018706
d4c363bf-Audio_SP13,i,398,403.1724470123463,2490.5953541254285,415.51510474208914,2484.7577793940613
dbeec025-Audio_SP13,i,274,408.4377181223351,1967.03079974248,419.0921889159883,1958.290095215569
e90f8e4d-Audio_SP22,i,258,361.0713974199457,2281.227443305659,436.985032356943,2252.358115272259
f061152e-Audio_SP12,i,272,478.1542402901673,2419.1647202397116,510.3389212885013,2272.6981160012474
fcd45f4d-Audio_SP21,i,279,355.5715520513059,1981.5558999060784,364.1603908247684,2024.9063754054835
061ea7d0-Audio_SP16,o,359,521.7600838102364,1072.565168816725,529.2795148951825,1100.7215630701567
0af9ac47-Audio_SP14,o,443,588.8501934244882,1176.1335794661904,593.129570803552,1182.727066887763
0e6115f2-Audio_SP19,o,479,469.9575625836316,1155.3672470547751,469.22049404136106,1133.8026082695073
0f786745-Audio_SP20,o,424,507.1646887304064,937.0223721397492,512.7105524975534,933.7179268920156
12c532f8-Audio_SP15,o,436,491.9145972572941,1098.0983910009074,493.9364854059278,1100.138368368248
181d5ce9-Audio_SP21,o,225,501.41756683937865,1140.7563850631304,500.5547520578302,1141.7497129323883
1c403477-Audio_SP13,o,524,479.94906846335005,1103.618367016602,481.1363639418109,1103.6464883869487
1d46eb6e-Audio_SP18,o,573,507.86016033838894,1096.8133986232149,515.8403254003636,1107.0957964780432
2988c6fc-Audio_SP13,o,250,510.55294192073796,1043.1717728805356,519.555446111178,1056.7379477753614
2e25304d-Audio_SP12,o,150,636.73696756928,1264.2882779260317,644.9447257737054,1314.7826033610563
